US Equity,Dev ex-US Equity,Emerging Equity,Global IG Bonds,EM Debt (HC),Global REITs
0.026982222317550358,0.04820266061087159,0.02249055774163252,0.7115572316243853,0.17093713130727392,0.019830196445166533
0.029533202895369877,0.04962547277686572,0.0257962610132438,0.7016154461310001,0.1741435757861778,0.01928604139734325
0.03290118737840341,0.05244543126673582,0.026525179618212373,0.6916723953350401,0.17686013457930608,0.019595671921100705
0.037913160452176534,0.05680796054545538,0.028229740131631823,0.679510515935088,0.17663176590250498,0.02090685704779542
0.03781795117592868,0.060321244424334154,0.03224331739722628,0.6717534115607366,0.17447803486362293,0.023386040585982634
0.04196761117347589,0.061677810588269134,0.03268832395873943,0.6642301874311003,0.17462859317232743,0.02480747367608827
0.04508129540962435,0.0652221998883232,0.03632724366885727,0.6518070778741145,0.17454072326815825,0.02702145989092278
0.04771917364123147,0.06767001289394851,0.040513244203169076,0.640071444723675,0.17485545607320094,0.029170668603685942
0.05184741637560298,0.07109794623705887,0.043533871177514574,0.625559199168933,0.1761676717597659,0.031793895281463216
0.05657105147101837,0.07359335951845464,0.047330245927427496,0.6100973800715287,0.1771992946468578,0.03520866836471277
0.06354346218305358,0.0775441481410624,0.05255175223099379,0.5894639050896855,0.17783659742046598,0.03906013493765922
0.07052358933295352,0.08133191549630747,0.05588533155496098,0.5712231323862175,0.17729581496723174,0.043740216262328185
0.07568134812104463,0.08301108887680957,0.060480892864540406,0.5550799476406663,0.17752820366861685,0.04821851882832154
0.08335643349421389,0.08564431694840183,0.06646942273802485,0.5352098846900242,0.17698993115125475,0.0523300109776467
0.08977065659899643,0.08801856810595153,0.0715107941107649,0.5168611370541732,0.1774150191648058,0.05642382496985606
0.09648394534311423,0.0929160363871628,0.07732758718569561,0.4965054371280069,0.17692180711519612,0.05984518684010217
0.10387031318055519,0.09491869519681474,0.08135026057119536,0.4793456873884535,0.1771374914354448,0.06337755223024068
0.10873216996716314,0.0956894513001575,0.08741625197242565,0.4637438307673276,0.17674818033499695,0.06767011565792859
0.11848665100471252,0.09724558320733304,0.09335101944400756,0.4457143527814663,0.17484907338523073,0.07035332008793717
0.12207084814868126,0.10053417531970178,0.09828991390219143,0.4318945250547176,0.17405685411174832,0.07315368346295921
0.1328242683973611,0.10118714036230166,0.10341158395215035,0.41591400477773127,0.17247481085395758,0.0741881916564979
0.1357760558259336,0.10496596687983685,0.10812743452353363,0.4019827617817884,0.17361849266048932,0.07552928832841778
0.14203372393688812,0.10456524046473381,0.11451327937711801,0.38800069094133477,0.17261380964362102,0.0782732556363039
0.1486709708939723,0.10819033955451289,0.11973604318854897,0.37022849782798073,0.1707423887434979,0.08243175979148668
0.15386576602833837,0.10934916279974533,0.12752337801765432,0.3557138474522223,0.1710109155647888,0.08253693013725075
0.16293719637321627,0.1096164084245983,0.13249149929539186,0.34076341608486715,0.17053876208201246,0.08365271773991319
0.1684404412996057,0.11303344432989422,0.13947484053107959,0.3252175210024034,0.16764440848103918,0.0861893443559771
0.17351802797816884,0.11425602088075482,0.145566496818462,0.3137044759920664,0.16517364748586355,0.08778133084290876
0.17714612280454237,0.11680448525026883,0.14843807204104711,0.30586238352476675,0.16254867936885004,0.08920025699854776
0.1811120540848336,0.1218079017867377,0.15301309695406642,0.295717533024132,0.16014949307553042,0.08819992107377225
0.183804240555606,0.12111019209272318,0.1557904869815795,0.28824053882466516,0.16125988036406022,0.08979466118136564
0.19083603237464083,0.12406894312525657,0.1603300729829377,0.2751227121743903,0.1576637191087871,0.09197852023398755
0.1940233286788178,0.12636224467488155,0.16772952182009382,0.26438763782919983,0.15514226734481218,0.09235499965219467
0.19952892943942363,0.12629539392138997,0.17235848276384763,0.2534319386365387,0.15193167576720043,0.09645357944411823
0.201865696809713,0.12474621030156395,0.1742795575824698,0.24671524188457072,0.1531478904502468,0.09924540297143603
0.20671245875542665,0.12179172747209331,0.18191448974221347,0.2379793704782606,0.15088039193329672,0.10072156161870972
0.20567831597231837,0.12305424678508721,0.18635898442201504,0.23308949021107236,0.1514962986889802,0.10032266392052705
0.20970873893618436,0.126145334155469,0.19308547560682032,0.2225958054305835,0.14598581954248682,0.10247882632210698
0.21263131712832245,0.1339966018733392,0.19294672758829914,0.2159805874853441,0.1423135534731649,0.1021312124515307
0.21697801753236579,0.135371496934193,0.1978636988034298,0.2087419819422139,0.13551990782932324,0.10552489695847461
