target_return,coverage,n_valid,sigma_classic,mu_arith_classic,mu_geom_classic,sigma_ref,mu_arith_ref,mu_geom_ref
0.02994954044724749,0.65,65,0.05690234177951147,0.031262703823387056,0.02969641920302024,0.05882851886543053,0.036030234425587226,0.034364043591415205
0.03307215480809805,0.72,72,0.05690800090602754,0.03151084762767277,0.029944627306595084,0.06007081761602921,0.03770663493728049,0.035972301207185975
0.036194769168948614,0.85,85,0.05783881795585835,0.03463346198852334,0.03302056792978392,0.061124731872309525,0.03880173954020963,0.03700805814905661
0.039317383529799174,0.9,90,0.059969383509024074,0.037756076349373884,0.03602766210600117,0.06322362705071062,0.04076472380545147,0.03884969064953814
0.042439997890649735,0.93,93,0.06307973826378384,0.040878690710224444,0.038972548044789335,0.06564098157173241,0.04267388466223308,0.04061380951638549
0.045562612251500295,0.95,95,0.06703350677258524,0.044001305071075004,0.041855884092064866,0.06824589313183417,0.04451787216753694,0.04229548664660632
0.048685226612350856,0.94,94,0.07168306647199453,0.04712391943192557,0.04467890237140226,0.07081894774088718,0.04618598691010087,0.04379723730750018
0.051807840973201416,0.93,93,0.07689765030247506,0.050246533792776125,0.047442630814488185,0.07503150778792539,0.048735489397975604,0.04606169484059763
0.05493045533405198,0.91,91,0.08257027818694997,0.0533691481536267,0.05014777430051853,0.07907931044743122,0.051009932490038094,0.04804749146963894
0.05805306969490254,0.87,87,0.08861302766700879,0.05649176251447725,0.052795056146742736,0.0827061690349464,0.05297866022158821,0.049745535708396016
0.0611756840557531,0.84,84,0.09495526377917675,0.059614376875327814,0.055385216742990906,0.08642304505909229,0.054943919924529155,0.05142166750525301
0.06429829841660366,0.8,80,0.1015408842833624,0.06273699123617836,0.05791901220993778,0.08970175668883967,0.056633112154467403,0.05284600198900957
0.06742091277745423,0.76,76,0.10832550880257412,0.06585960559702894,0.060397213083215995,0.09280099090967928,0.058164404040091724,0.05411840607910445
0.07054352713830478,0.75,75,0.11527400465083677,0.0689822199578795,0.06282060302528025,0.09761902074684917,0.06044297798839725,0.055978177624681935
0.07366614149915535,0.71,71,0.1223584593452446,0.07210461087151919,0.06518975246852676,0.10131279010785825,0.06214071083118458,0.057341550566817334
0.0767887558600059,0.65,65,0.12969811477427912,0.07522744867958059,0.06748944332332507,0.10260632039570837,0.06267911370900035,0.057759937589250354
0.07991137022085647,0.63,63,0.13744302449622625,0.07835006304043116,0.06969633527725838,0.10721154746562024,0.06473406426483685,0.05937702652003374
0.08303398458170702,0.61,61,0.14552993296635508,0.08147267740128177,0.0718119614770576,0.11216951916132466,0.06696239294084964,0.061114643415768555
0.08615659894255759,0.56,56,0.15390508126177577,0.08459529176213233,0.0738378427194859,0.11415887621681438,0.06780259662804142,0.061752046687120865
0.08927921330340814,0.53,53,0.16262192256067726,0.08771790612298284,0.07576138634498064,0.11768097155779284,0.0693148713262068,0.0628975524280817
